version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,A,none,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdfd80b3879531dfe64e2c1903f39fe0facc08f9bed6fcc064b33f5,eb3e2243f23747297c1204e5e56f852f5e869f00cb97baae7786baefcabbc419,Baseline trước cải tiến,Đo mốc so sánh bằng cùng model,case_accuracy,,0.6667,runs/v0_B_base_openrouter_20260914T195508787746.json
v1,A,system_prompt.md,v1+pe995a3010607+teb3e2243f237,e995a30106075aad92cc441f8f308590d99561fba0b518e47f6f84ac61da2af4,eb3e2243f23747297c1204e5e56f852f5e869f00cb97baae7786baefcabbc419,Routing và thông tin thiếu,Routing map và confirmation rõ sẽ giảm chọn sai tool,case_accuracy,0.6667,0.7333,runs/v1_B_base_openrouter_20260914T195138027077.json
v2,A+B,system_prompt.md; tools.yaml,v2+pe1758b24d374+tf582f7e60d56,e1758b24d374d3cff3e9a4b8b41acfa7f9968d13c4dd485a3944b8ea739f5d02,f582f7e60d568f94a7618afb41795eb1bb872671162500dce7e930edc2970742,Multi-tool và description cụ thể,Quy tắc nhiều tool và hỏi ID sẽ giảm thiếu tool/argument,case_accuracy,0.7333,0.9,runs/v2_B_base_openrouter_20260914T204426044480.json
v3,A,system_prompt.md,v3+p6e4a3faa6ea0+tf582f7e60d56,6e4a3faa6ea08fecf130e170f9891522ae7b501cfe786cc0bb241122ec63141d,f582f7e60d568f94a7618afb41795eb1bb872671162500dce7e930edc2970742,Phân biệt KB/status và vô hiệu xác nhận cũ,KB và environment rõ hơn giảm lỗi còn lại,case_accuracy,0.9,0.9333,runs/v3_B_base_openrouter_20260914T204601052881.json
v3,A,system_prompt.md,v3+pd5c3082edac0+tf582f7e60d56,d5c3082edac01075230d77f5a1715e1b102ee2beed1da0da5e5f4a94045ce944,f582f7e60d568f94a7618afb41795eb1bb872671162500dce7e930edc2970742,Kiểm chứng lại bản main 76c3312,Prompt tối ưu group cần kiểm tra regression trên base,case_accuracy,0.9333,0.8667,runs/v3_B_base_openrouter_20260915T002305157981.json
v4,A+B,system_prompt.md; tools.yaml,v4+p0da57cbd1a3c+t8dae25f11a3f,0da57cbd1a3c125f0e0a50e032c0df5e2c787e587086755a21b7b734229be450,8dae25f11a3fa258a5e7112ace6223fb2e349f307b1f4d37f9471acb100809d7,Vòng bổ sung từ security review của v3,Quy tắc ưu tiên safety và enum cụ thể cải thiện routing,case_accuracy,0.8667,1,runs/v4_B_base_openrouter_20260915T003058556556.json
v5,A+B+E,system_prompt.md; provider config,v5+p01e8b16874c3+t8dae25f11a3f,01e8b16874c3332c2b8e4dbb65cc92643f64f875f6d601346f25dca7d4d3a1b7,8dae25f11a3fa258a5e7112ace6223fb2e349f307b1f4d37f9471acb100809d7,Quy tắc ưu tiên tiếng Việt và giới hạn output,Làm rõ approval cũ/giả; giữ regression base trong khi tăng safety,case_accuracy,1,0.9667,runs/v5_B_base_openrouter_20260915T003357927235.json
